rank,venue,publications
1189,"Journal of University of Shanghai for Science and Technology Volume 25, Issue 02, February -",1
1190,"Physics Letters, Section A: General, Atomic and Solid State Physics",1
1191,Planetary and Space Science,1
1192,Journal of Ubiquitous Computing and Communication Technologies,1
1193,Poincare Journal of Analysis and Applications,1
1194,Journal of Tissue Engineering and Regenerative Medicine,1
1195,"Polymer Science, Series B",1
1196,"Pramana - Journal of Physics, 94, (0153), 2020",1
1197,Journal of Traffic and Transportation Engineering (English Edition),1
1198,Journal of Topology and Analysis,1
1199,Journal of Topology,1
1200,"Proceedings of 5th International Conference on Trends in Material Science and Inventive Materials, ICTMIM 2025",1
1201,Oriental Journal Of Chemistry,1
1202,Organic Letters,1
1203,Open Journal of Composite Materials,1
1204,Letters in Mathematical Physics,1
1205,Mining Technology: Transactions of the Institutions of Mining and Metallurgy,1
1206,Linguistics and Culture Review,1
1207,"Journal of Electrical Systems,20-11s(",1
1208,Modelling—International Open Access Journal of Modelling in Engineering Science,1
1209,Modern Physics Letters A,1
1210,Letters on Materials,1
1211,Legume Science,1
1212,Mineral Processing and Extractive Metallurgy Transactions of the Institutions of Mining and Metallurgy,1
1213,Montenegrin Journal of Economics,1
1214,"NATO science for peace and security series. C, Environmental security",1
1215,Lecture notes in nanoscale science and technology,1
1216,Lecture notes in computational science and engineering,1
1217,"NOVYI MIR Journal, Volume 8, Issue 10, October",1
1218,Latest Advances and New Visions of Ontology in Information Science,1
1219,Mini-Reviews in Organic Chemistry,1
1220,Machine Learning and Applications: An International Journal,1
1221,Nanotechnology in the life sciences,1
1222,Mechanical sciences,1
1223,Mathematical Biosciences,1
1224,"Mathematical Sciences and Computational Intelligence"" (21st -22nd DECEMBER,",1
1225,"Materials Science & Engineering B, 321, 118555",1
1226,"Materials Science & Engineering B, 318, 118262",1
1227,Mathematical Social Sciences,1
1228,Measurement: Journal of the International Measurement Confederation,1
1229,Materials Horizons: From Nature to Nanomaterials,1
1230,Maejo International Journal of Energy and Environmental Communication,1
1231,Mechanisms and Machine Science,1
1232,Mediterranean Journal of Mathematics,1
1233,"Metallurgical and Materials Engineering, web of science Journal SCI (Q3), I.F=0.9,Vol.31, No.5,",1
1234,Malaysian Journal of Science,1
1235,Metamaterials science and technology,1
1236,Micro & Nano Letters,1
1237,Nanostructure science and technology,1
1238,Kuwait Journal of Science,1
1239,On the Horizon The International Journal of Learning Futures,1
1240,Journal of the Iranian Chemical Society,1
1241,Nature Photonics,1
1242,Journal of the London Mathematical Society,1
1243,Journal of the Knowledge Economy,1
1244,Nature Reviews Materials,1
1245,Neural Processing Letters,1
1246,"Journal of the Iranian Chemical Society, 18(2), 479-493,",1
1247,"Neural Processing Letters, vol. 54, no. 5,",1
1248,Nature Methods,1
1249,"Journal of the Indian Society of Soil Science 67 (2), 174-182, 2019",1
1250,Journal of the Indian Society of Remote Sensing,1
1251,"Neuro–Open Journal, 21-24, 2019",1
1252,"New Journal of Chemistry,",1
1253,"Journal of the Indian Chemical Society, 100.2,",1
1254,OICC Press Journals,1
1255,Journal of the Physical Society of Japan,1
1256,Journal of the Ramanujan Mathematical Society,1
1257,Kristu Jayanti Journal of Computational Sciences (KJCS),1
1258,Natural Hazards Review,1
1259,Kodai Mathematical Journal,1
1260,National Academy Science Letters,1
1261,KSII Transactions on Internet and Information Systems,1
1262,"National Geographical Journal of India 65 (4), 389-402, 2022",1
1263,"Jundishapur Journal of Microbiology Volume-15, No.1 (",1
1264,Journal on Vehicle Routing Algorithms,1
1265,Natural Language Processing Journal,1
1266,Nature Energy,1
1267,Journal of the mechanical behavior of biomedical materials/Journal of mechanical behavior of biomedical materials,1
1268,"Journal of the Taiwan Institute of Chemical Engineers 122, 98-105, 2021",1
1269,Journal of the Taiwan Institute of Chemical Engineers,1
1270,Natural hazards and earth system sciences,1
1271,Journal of the Southern African Institute of Mining and Metallurgy,1
1272,Journal of the Society of Architectural Historians,1
1273,Journal of The Institution of Engineers (India) Series B,1
1274,"Journal of The Indian Academy of Echocardiography & Cardiovascular Imaging 5 …, 2021",1
1275,Journal of Telecommunications and the Digital Economy,1
1276,"SSRG International Journal of Mechanical Engineering Volume 12 Issue 3, 28-35, March",1
1277,"SN Applied Sciences, 2, 147, 2020",1
1278,"SN Computer Science SN COMPUT. SCI. 4, 692 (2023). https://doi.org/10.1007/s42979-023-02137-w",1
1279,"SSRG International Journal of Communication and Media Science (SSRG-IJCMS) ,",1
1280,Journal of Optoelectronic and Biomedical Materials,1
1281,Journal of Optimization Theory and Applications,1
1282,SSRG International Journal of Electrical and Electronics Engineering,1
1283,Journal of Optical Microsystems,1
1284,SIAM Journal on Scientific Computing,1
1285,Sadhana - Academy Proceedings in Engineering Sciences,1
1286,Journal of Number Theory,1
1287,Journal of Novel Engineering Science and Technology,1
1288,Science China Physics Mechanics and Astronomy,1
1289,Science Robotics,1
1290,Journal of Nondestructive Evaluation Diagnostics and Prognostics of Engineering Systems,1
1291,"SN Applied Sciences 1 (2), 165, 2019",1
1292,"Journal of Pharmaceutical Negative Results,",1
1293,"Journal of Non-Crystalline Solids, 577 (",1
1294,Journal of Physical Studies,1
1295,Review of Progress in Quantitative Nondestructive Evaluation,1
1296,Journal of Physics Energy,1
1297,Russian Journal of Organic Chemistry,1
1298,Journal of Physics Communications,1
1299,Russian Physics Journal,1
1300,SADHANA-Indian Academy of science (Accepted),1
1301,SAE International Journal of Commercial Vehicles,1
1302,"Journal of Pharmaceutical Negative Results, 14, 1151-1158",1
1303,Journal of Physical Organic Chemistry,1
1304,Journal of Photonics for Energy,1
1305,SAE International journal of commercial vehicles,1
1306,"Journal of Photochemistry & Photobiology, A: Chemistry 437 (2023) 114434",1
1307,Journal of Phase Equilibria and Diffusion,1
1308,"Journal of Pharmacognosy and Phytochemistry 8 (6), 1890-1893, 2019",1
1309,Journal of Noncommutative Geometry,1
1310,Science and Technology of Welding & Joining,1
1311,"Journal of Physics: Condensed Matter 34,",1
1312,"Journal of Molecular Structure, 1329, 141366",1
1313,"Journal of Nanofluids, 616-627",1
1314,Journal of Nanofluids,1
1315,Journal of Namibian Studies : History Politics Culture,1
1316,Solar Energy and Sustainable Development Journal,1
1317,Solar-Driven Water Treatment: Re-engineering and Accelerating Nature’s Water Cycle,1
1318,Journal of Molecular and Engineering Materials,1
1319,"Songklankarin Journal of Science and Technology, 42(2), 415-423, 2020",1
1320,Solar Energy Materials and Solar Cells,1
1321,Journal of Molecular Structure 1347 (2025) 143310,1
1322,South Asia Journal of South Asian Studies,1
1323,"South East Asian J. of Mathematics and Mathematical Sciences., Vol. 21, No. 1 (",1
1324,Journal of Molecular Structure 1285 (2023) 135468,1
1325,South East Asian Journal of Mathematics and Mathematical Sciences,1
1326,"Journal of Molecular Structure 1274, 134548, 2023",1
1327,"Journal of Nanofluids, Vol. 8, no.7, 2019",1
1328,Soil Science Society of America Journal,1
1329,"Journal of Non-Crystalline Solids, 544 (",1
1330,Separation and Purification Reviews,1
1331,"Scientific Reports (Nature), 12(1), 13275",1
1332,Journal of New Materials for Electrochemical Systems,1
1333,Journal of Neuroscience,1
1334,Journal of Network and Systems Management,1
1335,Scientific and technical journal of information technologies mechanics and optics,1
1336,SeMA Journal,1
1337,Journal of Nepal Chemical Society,1
1338,Social Sciences & Humanities Open,1
1339,ShodhKosh: Journal of Visual and Performing Arts,1
1340,Journal of Navigation,1
1341,Journal of Nanotechnology,1
1342,Journal of Nanoscience and Technology,1
1343,Small Science,1
1344,Smart Science,1
1345,"Journal of Physics: Condensed Matter 33,",1
1346,"Journal of Physics: Conference Series 1767 (1), 012052, 2021",1
1347,"Journal of Telecommunication, Electronic and Computer Engineering (JTEC)",1
1348,"Psychology and Education Journal 57 (9), 6640-6651, 2020",1
1349,Progress in Agricultural Engineering Sciences,1
1350,Journal of Sports and Physical Education Studies,1
1351,Progress in Polymer Science,1
1352,Progress in molecular biology and translational science,1
1353,Progress in optical science and photonics,1
1354,Journal of Space Safety Engineering,1
1355,Journal of Solar Energy Engineering,1
1356,"Proceedings on Engineering Sciences, Volume 5, Year 2023, Pages 539-544",1
1357,"Psychology and Education Journal 57 (9), 6783-6787, 2020",1
1358,"Journal of Soil Science and Plant Nutrition 22 (3), 3958-3967, 2022",1
1359,Journal of Software Engineering and Applications,1
1360,Punjab University Journal of Mathematics,1
1361,Journal of Signal Processing Systems,1
1362,Quantitative Science Studies,1
1363,Progress in Aerospace Sciences,1
1364,Journal of Sulfur Chemistry,1
1365,Quantum Science and Technology,1
1366,Journal of Synchrotron Radiation,1
1367,"Journal of Telecommunication and Information Technology., 42-49 (",1
1368,Journal of Telecommunication Electronic and Computer Engineering (JTEC),1
1369,"Journal of Technological Advancements (JTA) 2 (1), 1-20, 2022",1
1370,"Journal of Systems Engineering and Electronics, Volume 34 Issue 07 ISSN:",1
1371,Journal of Systems Architecture,1
1372,Journal of System and Management Sciences,1
1373,Journal of Symplectic Geometry,1
1374,"Proceedings of the National Academy of Sciences, India Section B: Biological Sciences",1
1375,Proceedings of the Institution of Mechanical Engineers Part N Journal of Nanomaterials Nanoengineering and Nanosystems,1
1376,"Proceedings of the Institution of Mechanical Engineers, Part B: Journal of Engineering Manufacture",1
1377,"Proceedings of the Institution of Mechanical Engineers, Part D: Journal of Automobile Engineering",1
1378,"Proceedings of the Institution of Mechanical Engineers, Part E: Journal of Process Mechanical Engineering",1
1379,"Proceedings of the Institution of Mechanical Engineers, Part J: Journal of Engineering Tribology",1
1380,"Proceedings of the Institution of Mechanical Engineers, Part N: Journal of Nanomaterials, Nanoengineering and Nanosystems",1
1381,Journal of Sensors,1
1382,Journal of Science Advanced Materials and Devices,1
1383,"Journal of Physics: Conference Series, Volume",1
1384,Research &amp; Development in Material Science,1
1385,Journal of Process Control,1
1386,Journal of Power Electronics,1
1387,Journal of Porous Materials,1
1388,Journal of Polymers and the Environment,1
1389,Journal of Polymer Science,1
1390,"Journal of Polymer Research, 29, 2022",1
1391,Research Highlights in Science and Technology Vol. 9,1
1392,Recent Trends In Engineering and Science for Resource Optimization and Sustainable Development,1
1393,"Journal of Polymer Materials 37, 2020",1
1394,Journal of Plasma Physics,1
1395,Research Journal of Chemistry and Environment,1
1396,"Journal of Plant Nutrition and Soil Science 185 (2), 308-316, 2022",1
1397,"Research Journal of Chemistry and …, 2021",1
1398,Research in the Mathematical Sciences,1
1399,"Recent Trends in Computational Sciences - Proceedings of the 4th Annual International Conference on Data Science, Machine Learning and Blockchain Technology, AICDMB 2023",1
1400,Journal of Quantum Science and Technology.,1
1401,"Journal of Scholastic Engineering Science and Management, Volume 2, Pages 60-68",1
1402,Journal of Rheology,1
1403,Journal of Saudi Chemical Society,1
1404,RASAYAN Journal of Chemistry,1
1405,Journal of Sandwich Structures & Materials,1
1406,REVIEWS ON ADVANCED MATERIALS SCIENCE,1
1407,"Journal of SEYBOLD Report, Volume 15, Issue 7, Sl. No. 120,",1
1408,Journal of Rock Mechanics and Geotechnical Engineering,1
1409,"Journal of Research on the Lepidoptera, Volume 51, Issue 2, DOI: 10.36872/LEPI/V51I2/301127",1
1410,Journal of Radioanalytical and Nuclear Chemistry,1
1411,Journal of Research in Engineering and Applied Sciences,1
1412,RILEM Technical Letters,1
1413,Journal of Renewable and Sustainable Energy,1
1414,Radio Science,1
1415,Rasayan Journal of Chemistry,1
1416,"Journal of Radioanalytical and Nuclear Chemistry, 334:303–314",1
1417,Modeling and optimization in science and technologies,1
1418,"""Journal of Data Acquisition and Processing SCIENCE PRESS, BEIJING, CHINA""",1
1419,Journal of Electrical Systems . Dec,1
1420,IEEE International Conference on Automation Science and Engineering,1
1421,IEEE Open Journal of the Computer Society,1
1422,IEEE Open Journal of Ultrasonics Ferroelectrics and Frequency Control,1
1423,IEEE Open Journal of Signal Processing,1
1424,IEEE Open Journal of Control Systems,1
1425,IEEE Open Journal of Circuits and Systems,1
1426,IEEE Magnetics Letters,1
1427,IEEE Letters on Electromagnetic Compatibility Practice and Applications,1
1428,IEEE Journal of Radio Frequency Identification,1
1429,IEEE Journal of Oceanic Engineering,1
1430,IEEE Journal of Biomedical and Health Informatics,1
1431,"IEEE International Conference on Data Science and Information System, ICDSIS 2022",1
1432,IEEE Embedded Systems Letters,1
1433,"Hindawi Computational Intelligence and Neuroscience, Volume",1
1434,ICTACT Journal on Image and Video Processing,1
1435,ICST Transactions on e-Education and e-Learning,1
1436,ICST Transactions on Mobile Communications and Applications,1
1437,"ICCISc 2021 - 2021 International Conference on Communication, Control and Information Sciences, Proceedings",1
1438,ICCDS 2024 - International Conference on Computing and Data Science,1
1439,IBRO Neuroscience Reports,1
1440,IAES International Journal of Artificial Intelligence (IJ-AI). 12. 1270. 10.11591/ijai.v12.i3.pp1270-1280.,1
1441,"IAES International Journal of Artificial Intelligence (IJ-AI), Vol 11, No 3 http://doi.org/10.11591/ijai.v11.i3.pp1019-1025",1
1442,IAES International Journal of Artificial Intelligence,1
1443,"IAENG International Journal of Computer Science, ISSN: 1819-9224",1
1444,IACR Transactions on Symmetric Cryptology,1
1445,IEEE Open Journal of the Industrial Electronics Society,1
1446,IEEE Reviews in Biomedical Engineering,1
1447,IEEE Transactions on Automation Science and Engineering,1
1448,IEEE Transactions on Circuits and Systems I: Regular Papers,1
1449,INTERNATIONAL JOURNAL OF ADVANCES IN SIGNAL AND IMAGE SCIENCES,1
1450,"INDISCON 2024 - 5th IEEE India Council International Subsections Conference: Science, Technology and Society",1
1451,INAE Letters,1
1452,"IJSDR (International Journal of Scientific Development and Research (IJSDR)),",1
1453,IETE Technical Review,1
1454,IETE Journal of Education,1
1455,IEEE/ACM Transactions on Computational Biology and Bioinformatics,1
1456,IEEE transactions on circuits and systems for artificial intelligence.,1
1457,IEEE Transactions on Technology and Society,1
1458,IEEE Transactions on Signal and Information Processing over Networks,1
1459,IEEE Transactions on Radar Systems,1
1460,IEEE Transactions on Networking,1
1461,IEEE Transactions on Molecular Biological and Multi-Scale Communications,1
1462,IEEE Transactions on Medical Robotics and Bionics,1
1463,IEEE Transactions on Machine Learning in Communications and Networking,1
1464,IEEE Transactions on Knowledge and Data Engineering,1
1465,IEEE Transactions on Fuzzy Systems,1
1466,IEEE Transactions on Emerging Topics in Computing,1
1467,IEEE Transactions on Emerging Topics in Computational Intelligence,1
1468,"IEEE Transactions on Electron Devices, 68 (",1
1469,IEEE Transactions on Dependable and Secure Computing,1
1470,IEEE Transactions on Control Systems Technology,1
1471,"IEEE Transactions on Circuits and Systems II: Express Briefs, vol. 67, no. 10,",1
1472,"Hindawi, Computational Intelligence and Neuroscience Volume",1
1473,"Heliyon, open access journal, Elsevier Publication, vol.8, no.1, Jan",1
1474,INTERNATIONAL JOURNAL OF ELECTRICAL ENGINEERING AND TECHNOLOGY,1
1475,European Journal of Environmental and Civil engineering,1
1476,European Polymer Journal,1
1477,"European Physical Journal Plus (Springer), 138(5)",1
1478,European Journal of Theoretical and Applied Sciences,1
1479,European Journal of Physics,1
1480,European Journal of Organic Chemistry,1
1481,"European Journal of Nutrition and Food Safety 14 (12), 50-61, 2022",1
1482,European Journal of Neuroscience,1
1483,"European Journal of Molecular and Clinical Medicine 8 (1), 1769-1777, 2021",1
1484,"European Journal of Molecular & Clinical Medicine , pp",1
1485,European Journal of Mathematics,1
1486,"European Journal of Geography 13 (5), 27-44, 2022",1
1487,Environmental Science: Advances,1
1488,Health Science Reports,1
1489,Environmental Science Nano,1
1490,Environmental Research Letters,1
1491,Enhanced heat transfer/Journal of enhanced heat transfer,1
1492,"Engineering Science and Technology, an International Journal",1
1493,Encyclopedia of Polymer Science and Technology,1
1494,"Encyclopedia of Information Science and Technology, Fifth Edition, 939-949, 2021",1
1495,"Encyclopedia of Information Science and Technology, Fifth Edition, 913-923, 2021",1
1496,Encyclopedia of Earth Sciences Series,1
1497,Encyclopedia of Computational Neuroscience,1
1498,Encyclopedia of Complexity and Systems Science,1
1499,"Emperor International Journal of Finance and Management Research. Volume-05, Issue-01, January-",1
1500,"European physical journal: Special Topics, 230, 1273-1281",1
1501,Experimental Cell Research,1
1502,Extreme Mechanics Letters,1
1503,FEBS Journal,1
1504,Health Information Science,1
1505,Géotechnique Letters,1
1506,Goya Journal -ISSSN:,1
1507,Global Research and Development Journals,1
1508,Global Nest Journal,1
1509,"Global Journal of Researches in Engineering: C Chemical Engineering, Vol. 19, Issue 1, Version 1.0, 2019",1
1510,Global Journal of Earth Science and Engineering,1
1511,Geotechnical Testing Journal,1
1512,Geological Journal,1
1513,"Geetishree Mishra, Feroz Morab, Rajeshwari Hegde, Journal of Xidian University, ISSN No:",1
1514,"Geetishree Mishra, B P Swathi, Divya Shree K V , Aaditya Balakrishna, Harshitha Jampala, International journal of Intelligent Systems and Applications in Engineering, ISSN:",1
1515,Gas Science and Engineering,1
1516,"GIS Science Journal, Volume 8, Issue 8, ISSN NO:",1
1517,Future Business Journal,1
1518,"Frontiers in Plant Science 13, 920682, 2022",1
1519,"Frontiers in Plant Science 11, 564183, 2020",1
1520,"Frontiers in Optics + Laser Science 2023 (FiO, LS)",1
1521,Frontiers in Membrane Science and Technology,1
1522,Frontiers in Environmental Science,1
1523,Frontiers in Earth Science,1
1524,Frontiers in Cellular and Infection Microbiology,1
1525,Fluctuation and Noise Letters,1
1526,FME Transaction,1
1527,INTERNATIONAL JOURNAL OF ELECTRICAL ENGINEERING &amp; TECHNOLOGY,1
1528,INTERNATIONAL JOURNAL OF ENGINEERING DEVELOPMENT AND RESEARCH,1
1529,"Elsevier Journal of King Saud University - Computer and Information Sciences, 8th April",1
1530,"International Conference on Recent Advances in Science and Engineering Technology, ICRASET 2023",1
1531,International Journal for Modern Trends in Science and Technology,1
1532,"International Journal for Legal Research and Analysis. Volume: II Issue: 7, 11 July -",1
1533,"International Journal YMER (Scopus), vol 21, Issue 6, pp 132-147, June",1
1534,"International Journal Of Research In Electronics And Computer Engineering (IJRECE), Vol 8, Issue 2, June",1
1535,"International Journal Of Electrical Engineering and Technology"", Volume 12, Issue 6, June",1
1536,International Journal Of Advanced Research in Basic Engineering Sciences and Technology (IJARBEST),1
1537,International Conference on women Empowerment in Science & Technology (ICWEST 2021),1
1538,"International Conference on Smart Systems for Applications in Electrical Sciences, ICSSES 2025",1
1539,International Conference on Recent Trends in Science and Technology ICRTST-,1
1540,"International Conference on Recent Trends in Electrical, Electronics and Computer Science Engineering (ICEECS",1
1541,International Conference on Recent Advances in Science and EngineeringICRASET 2023,1
1542,International Conference on Recent Advances in Science and Engineering Technology (ICRASET) (pp. 1-5). IEEE,1
1543,Indonesian Journal of Combinatorics,1
1544,International Conference on Intelligent Systems and Sustainable Computing (pp. 125-134). Singapore: Springer Nature Singapore.,1
1545,International Conference on Human-Centric Smart Computing (pp. 333-343). Singapore: Springer Nature Singapore,1
1546,International Conference on Computational Intelligence in Machine Learning (pp. 119-131). Singapore: Springer Nature Singapore.,1
1547,International Conference on Advances in Photonics Science (ICAPS 2024),1
1548,"International Conference on Advances in Computing, Communication, Automation and Biomedical Technology (ICACCABT 2022), IOP Journal of Physics Conference Series",1
1549,"Internal Journal of Modern Physics, 2450071",1
1550,Intelligent Data Analysis: An International Journal,1
1551,"Int. Journal of Heat & Technology, Vol.41, No.2, 293-303",1
1552,Innovations in Science and Technology Vol. 7,1
1553,Informacije MIDEM - Journal of Microelectronics Electronic Components and Materials,1
1554,Indonesian Journal of Pharmaceutical and Clinical Research,1
1555,"International Journal for Research in Applied Science & Engineering Technology (IJRASET Vol 8 No.9, ISSN",1
1556,"International Journal for Research in Applied Science & Engineering Technology (IJRASET),April",1
1557,"International Journal for Research in Applied Science and Engineering Technology"" (IJRASET) Publications Volume 10 Issue VI June",1
1558,"International Journal for Research in Engineering Application & Management, vol 6, issue 8, November",1
1559,"International Journal of Advanced Science and Technology 29 (5), 7489-7500, 2020",1
1560,International Journal of Advanced Science and Engineering,1
1561,International Journal of Advanced Science Computing and Engineering,1
1562,"International Journal of Advanced Research in Science, Communication and Technology",1
1563,"International Journal of Advanced Research in Engineering and Technology (IJARET), Volume 11, Issue 12, December",1
1564,"International Journal of Advanced Research in Electrical, Electronics and Instrumentation Engineering (IJAREEIE), Volume 9, Issue 5, May",1
1565,"International Journal of Advanced Research in Computer and Communication Engineering (IJARCCE),Vol. 13, Issue 7, July",1
1566,International Journal of Advanced Research in Computer and Communication Engineering (IJARCCE),1
1567,International Journal of Advanced Operations Management,1
1568,"International Journal of Advanced Intelligence Paradigms, INDERSCIENCE, Volume 22, No 3/4, pp:416–435, July",1
1569,"International Journal of Advanced Computer Science and Applications, Vol-13, Issue-6, DOI: 10.14569/IJACSA.2022.0130636",1
1570,"International Journal of Advanced Computer Science and Applications(IJACSA), 14(10), Nov 2023",1
1571,"International Journal of Advanced Computer Science and Applications(IJACSA), 12(9),",1
1572,International Journal of Advanced Computer Science and Applications (IJACSA),1
1573,"International Journal of Advanced Computer Science and Application, Volume 13 Issue 9 DOI:10.14569/IJACSA.2022.01309111",1
1574,"International Journal of Advanced Computer Research, Vol 10(48)(SJR)",1
1575,International Journal of Advanced Chemistry,1
1576,"International Journal of Advance and Innovative Research. Volume-06, Issue 4 (I): October-December,",1
1577,International Journal of Adhesion and Adhesives,1
1578,International Journal of Adaptive Control and Signal Processing,1
1579,"International Journal of Accounting & Finance Review 13 (1), 20-34, 2022",1
1580,International Journal of AI BigData Computational and Management Studies,1
1581,"International Journal for Scientific Research & Development, Vol. 8, Issue 4, June",1
1582,"Indonesian Journal of Electrical Engineering and Computer Science, http://doi.org/10.11591/ijeecs.v26.i3.pp1502-1511",1
1583,Indiana University Mathematics Journal,1
1584,INTERNATIONAL JOURNAL OF MATHEMATICS AND COMPUTER RESEARCH,1
1585,"IOP Conference Series: Materials Science and Engineering 1091 (1), 012038, 2021",1
1586,"IOP Conference Series: Materials Science and Engineering 1168 (1), 012009, 2021",1
1587,"IOP Conference Series: Materials Science and Engineering 1168 (1), 012008, 2021",1
1588,"IOP Conference Series: Materials Science and Engineering 1166 (1), 012053, 2021",1
1589,"IOP Conference Series: Materials Science and Engineering 1166 (1), 012042, 2021",1
1590,"IOP Conference Series: Materials Science and Engineering 1166 (1), 012034, 2021",1
1591,"IOP Conference Series: Materials Science and Engineering 1136 (1), 012050, 2021",1
1592,"IOP Conference Series: Materials Science and Engineering 1131 (1), 012007, 2021",1
1593,"IOP Conference Series: Materials Science and Engineering 1131 (1), 012003, 2021",1
1594,"IOP Conference Series: Materials Science and Engineering 1131 (1), 012002, 2021",1
1595,"IOP Conference Series: Materials Science and Engineering 1091 (1), 012074, 2021",1
1596,"IOP Conference Series: Materials Science and Engineering 1091 (1), 012042, 2021",1
1597,"IOP Conference Series: Materials Science and Engineering 1091 (1), 012036, 2021",1
1598,Indian Science Cruiser,1
1599,"IOP Conference Series: Materials Science and Engineering 1091 (1), 012017, 2021",1
1600,"IOP Conference Series: Materials Science and Engineering 1070 (1), 012098, 2021",1
1601,"IOP Conference Series: Materials Science and Engineering 1070 (1), 012091, 2021",1
1602,"IOP Conference Series: Materials Science and Engineering 1012 (1), 012055, 2021",1
1603,"IOP Conference Series: Earth and Environmental Science 573 (1), 012039, 2020",1
1604,IOP Conf. Series: Materials Science and Engineering 925 (2020) 012054,1
1605,"INTL. JOURNAL OF ELECTRONICS AND TELECOMMUNICATIONS,",1
1606,"INTERNATIONAL JOURNAL OF SCIENTIFIC RESEARCH IN ENGINEERING AND MANAGEMENT, Vol 09,Issue 02,ISSN:",1
1607,INTERNATIONAL JOURNAL OF SCIENTIFIC RESEARCH IN ENGINEERING AND MANAGEMENT,1
1608,INTERNATIONAL JOURNAL OF RESEARCH IN ENGINEERING & SCIENCE,1
1609,"INTERNATIONAL JOURNAL OF RESEARCH AND ANALYTICAL REVIEWS, Volume 9, Issue 3,E-ISSN 2348-1269, P- ISSN 2349-5138",1
1610,"IOP Conference Series: Materials Science and Engineering 1168 (1), 012024, 2021",1
1611,"IOP Conference Series: Materials Science and Engineering 1197 (1), 012032, 2021",1
1612,"IOP Conference series: materials science and engineering 1131 (1), 012017, 2021",1
1613,ISA Transactions,1
1614,"Indian Journal of Technical Education, Vol. 46, No. 4, pp 202 – 215, ISSN",1
1615,"Indian Journal of Science and Technology 12, 2, 2019",1
1616,"Indian Journal of Research in Capital Markets, 29-39, 2019",1
1617,"Indian Journal of Research in Capital Markets, 20-35, 2019",1
1618,Indian Journal of Pure and Applied Physics,1
1619,"Indian Journal of Physics, 1-10, 2021",1
1620,Indian Journal of Pharmaceutical Education and Research,1
1621,"Indian Journal of Law and Legal Research. Volume IV Issue IV, 23rd August, Page:",1
1622,"Indian Journal of Genetics and Plant Breeding 79 (Sup-01), 292-299, 2019",1
1623,Indian Journal of Community Medicine,1
1624,Indian Journal of Chemistry,1
1625,Indian Journal of Biochemistry and Biophysics,1
1626,"Indian Journal of Agricultural Sciences 92 (8), 996-1000, 2022",1
1627,"Indian Journal of Agricultural Sciences 89 (1), 46-55, 2019",1
1628,"Indian Journal Of Science and Technology, Vol.13, Issue No. 48, pp:",1
1629,Indian Geotechnical Journal,1
1630,"In 2022 IEEE International Conference on Data Science and Information System (ICDSIS), pp. 1-5. IEEE, 2022.",1
1631,Imperial Journal of Interdisciplinary Research,1
1632,"IUP journal of electrical and electronics engineering, Vol. 14, Iss. 4, October",1
1633,"IUP journal of electrical and electronics engineering, Jul",1
1634,"ITU Journal on Future and Evolving Technologies, Volume 3, Issue 2, September",1
1635,ISH Journal of Hydraulic Engineering,1
1636,"ISBR MANAGEMENT JOURNAL ISSN (Online)-2456-9062 5 (1), 2020",1
1637,"Elsevier, Procedia Computer Science, 167, pp",1
1638,Electronics Letters,1
1639,"International Journal of Advanced Science and Technology, Vol 29, No. 5, 2020, ISSN: 2005-4238, pp: 12332-12344",1
1640,ACM Transactions on Programming Languages and Systems,1
1641,ASME Journal of Fluids Engineering. https://doi.org/10.,1
1642,"ASME Journal of Fluids Engineering 146, no. 2:",1
1643,ASCE-ASME Journal of Risk and Uncertainty in Engineering Systems Part B Mechanical Engineering,1
1644,AIChE Journal,1
1645,AEU - International Journal of Electronics and Communications,1
1646,ACS Nanoscience Au,1
1647,ACS Measurement Science Au,1
1648,ACS Journal for Science and Engineering,1
1649,ACS Chemical Neuroscience,1
1650,ACS Agricultural Science & Technology,1
1651,ACM Transactions on Sensor Networks,1
1652,ACM Transactions on Parallel Computing,1
1653,"2025 International Conference on Data Science and Business Systems, ICDSBS 2025",1
1654,ACM Transactions on Internet Technology,1
1655,ACM Transactions on Cyber-Physical Systems,1
1656,ACM Transactions on Computation Theory,1
1657,"ACM Transactions on Asian and Low-Resource Language Information Processing, Volume 24, Issue 8, Article 77, Aug",1
1658,ACM SIGMETRICS Performance Evaluation Review,1
1659,ACM Journal on Computing and Sustainable Societies,1
1660,ACM Journal on Autonomous Transportation Systems,1
1661,": utility of deep learning for diagnosis of common lung pathologies from chest x-rays” Bulletin of Environment, Pharmacology and life sciences,International Journal of Early Childhood Special Education, ISSN:",1
1662,8th European Congress on Computational Methods in Applied Sciences and Engineering,1
1663,"21st International Conference on Miniaturized Systems for Chemistry and Life Sciences, MicroTAS 2017",1
1664,2025 Third International Conference on Emerging Applications of Material Science and Technology (ICEAMST),1
1665,ASME Journal of Heat and Mass Transfer. https://doi.org/10.,1
1666,"ASME-Journal of heat and mass transfer , 145, 83301",1
1667,"Accounting and Business Corporate (February 2, 2022). Management Journal for …, 2022",1
1668,Acta Crystallographica Section B Structural Science Crystal Engineering and Materials,1
1669,"Annals of the Romanian Society for Cell Biology 25 (5), 166-175, 2021",1
1670,"Annals of the Romanian Society for Cell Biology 25 (4), 2611-2622, 2021",1
1671,"Annals of the Romanian Society for Cell Biology 25 (3), 2254-2263, 2021",1
